,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40
Gen 16,-0.09313,0.13950,-0.06174,-0.11896,-0.10671,-0.14577,0.06478,0.01935,0.08837,0.00212,0.08755,0.05873,0.08335,-0.02806,0.04433,-0.09606,-0.05345,-0.09822,-0.02741,-0.07757,-0.02792,0.14257,-0.05390,0.14475,0.04089,-0.03747,0.10725,0.03588,-0.07439,0.08786,-0.02012,-0.04275,-0.05092,0.05921,-0.06940,0.09248,-0.06141,0.01324,-0.00362,0.10661
Gen 15,0.11652,-0.09468,0.02560,0.11946,-0.01616,0.12656,-0.06630,0.03265,0.05474,-0.08154,-0.14587,-0.02498,0.13154,-0.04709,0.08392,-0.09758,-0.04741,-0.10662,0.06503,0.05979,0.05655,-0.07398,0.05771,-0.08181,-0.02261,-0.03842,-0.04341,-0.13270,0.03949,0.06219,0.03408,0.04449,-0.09902,-0.10517,0.00425,0.11260,-0.09481,-0.01115,-0.02132,-0.00081
Gen 20,-0.10155,-0.04727,-0.07144,0.10336,0.09010,-0.02201,0.03210,-0.10636,0.00288,-0.06092,0.10790,0.05148,0.04004,-0.11257,-0.00882,0.14597,0.13449,0.04353,-0.10448,0.04174,0.01970,-0.00940,-0.02159,0.02978,0.10499,0.07534,0.02381,0.12741,-0.13058,0.14740,-0.13410,-0.09015,-0.02317,-0.11775,0.03710,-0.13560,-0.06461,-0.13169,0.06106,0.05054
Gen 5,-0.03643,-0.09354,0.07410,-0.04789,0.08859,-0.00363,0.00770,-0.14145,0.04327,-0.04480,-0.08124,-0.01983,-0.03526,-0.00906,0.14385,-0.04069,0.08232,0.01583,0.11674,-0.04351,-0.07634,0.12331,-0.13694,0.13523,0.01692,-0.03709,0.14852,-0.13249,0.00501,-0.14067,0.02135,-0.09586,0.03929,0.14428,0.11247,-0.01445,0.06254,0.08324,-0.00155,0.00856
Gen 29,-0.10476,-0.03918,-0.10733,0.06807,-0.00690,-0.01534,0.11580,0.00829,-0.02727,-0.06933,-0.12840,-0.02456,-0.14227,-0.06265,0.00105,0.13978,-0.11719,0.05191,-0.00002,0.08313,-0.10692,-0.12504,-0.03023,0.08909,-0.09250,0.08033,-0.06291,-0.08493,-0.14499,-0.03040,-0.03568,0.04780,-0.12872,-0.10422,-0.14503,-0.11586,0.04554,-0.02920,-0.05369,0.01737
Gen 1661,0.14804,0.10035,0.05989,0.12548,-0.13808,-0.12890,-0.00780,-0.04525,0.13118,-0.00313,0.01189,0.11858,-0.01601,0.11311,-0.07393,-0.06786,-0.05149,0.01427,-0.08396,0.05143,-0.10716,-0.12177,0.11106,-0.07894,-0.03420,0.02146,0.00774,-0.12719,0.11224,0.13534,0.09375,-0.06486,0.00835,-0.04817,0.01640,0.14232,-0.05649,0.05064,-0.05221,0.08234
Gen 1680,-0.05226,0.11695,0.07551,0.07879,-0.00916,-0.08677,-0.13756,-0.05345,-0.13887,0.05816,0.05111,-0.02086,0.08034,0.01080,-0.13804,-0.10956,-0.09198,-0.04930,-0.13431,0.03154,0.00362,0.03524,-0.02029,0.10431,-0.01378,-0.14538,0.11192,0.04686,0.09690,0.13553,-0.13473,-0.07948,-0.13100,-0.02350,0.10915,-0.12551,-0.00807,-0.11234,0.08187,0.10243
Gen 1658,-0.13701,-0.00407,-0.07818,0.13574,0.13317,0.03418,0.14205,-0.04654,0.11936,-0.01962,-0.07926,0.13225,0.05527,-0.13053,0.11113,0.06041,0.03148,0.06971,-0.07397,0.03015,0.09439,-0.13377,-0.11085,0.10273,0.03550,0.00939,-0.07551,-0.06148,0.11181,-0.02350,-0.13067,0.11910,-0.08899,0.09787,0.11453,-0.00397,0.02954,0.00818,0.03745,0.10651
Gen 21,-0.06536,0.11513,0.02031,-0.11547,-0.08190,0.02879,-0.07817,-0.11058,-0.10145,0.10346,0.03066,0.13907,-0.04630,0.02869,0.02970,0.03471,-0.13225,0.07510,0.13446,0.01040,-0.09223,0.07588,-0.14780,-0.05152,0.12528,0.02651,0.10656,0.03140,0.09677,0.11385,-0.05370,-0.11311,0.06639,-0.01790,-0.11198,0.02695,-0.13918,-0.08995,0.08649,-0.14637
Gen 22,-0.05900,-0.14359,0.14925,0.02461,-0.06199,0.12868,0.00214,-0.01359,0.02636,-0.07076,-0.05841,-0.03850,-0.07667,0.02536,0.05875,-0.12842,0.14132,0.07592,0.09185,0.07549,-0.12598,-0.00549,-0.01630,0.05174,-0.01538,0.06129,0.05449,0.05914,0.03558,-0.10471,0.07824,0.08431,0.12123,-0.07987,-0.09700,-0.03267,-0.05383,0.09464,0.03406,0.07800
Gen 1660,-0.02170,-0.12017,-0.11549,-0.03798,-0.09185,0.09622,0.02989,0.05665,-0.00267,-0.12355,-0.07948,-0.01152,-0.09042,-0.14236,0.06882,0.06748,-0.05088,0.10305,-0.02147,0.10941,0.04712,0.02431,-0.08978,0.00886,0.11833,-0.05850,0.11128,0.12262,-0.05105,0.05492,0.11977,-0.12729,0.11358,-0.09275,0.10493,0.05014,-0.04670,-0.10459,0.04061,0.10434
Gen 1689,0.09655,0.03847,0.13689,0.02698,-0.09065,-0.02120,-0.04898,0.14758,-0.03593,0.14781,0.00564,-0.09832,-0.12763,-0.03891,-0.11297,0.04036,-0.02582,0.14727,0.12899,-0.10523,-0.03154,-0.01153,0.01828,0.08411,-0.00384,-0.02400,-0.07140,0.12324,-0.14332,0.09634,-0.09346,0.05573,-0.04344,0.14226,-0.11317,-0.09373,0.11683,0.02502,-0.05723,-0.14977
Gen 117,-0.08172,-0.10638,-0.08897,0.11890,0.11193,0.06009,-0.00885,0.09814,-0.00125,-0.04095,-0.06732,0.12742,-0.03390,-0.00214,-0.07367,0.11549,-0.03502,-0.06073,0.06528,-0.09274,-0.11454,0.10110,0.07324,0.02716,-0.07713,0.03697,0.04151,-0.05173,-0.12975,0.11416,-0.01201,0.07916,-0.07383,0.02742,-0.02136,-0.03537,-0.11199,-0.07672,-0.12620,-0.05914
Gen 110,0.07251,0.03450,0.05172,-0.14749,0.05351,0.00095,-0.08073,-0.09753,-0.09451,0.10328,0.14478,0.12412,-0.04579,0.08407,0.01394,0.09493,-0.00488,0.02699,0.08618,-0.11993,0.01110,-0.04020,0.03129,0.13764,-0.03215,-0.03211,0.08719,0.04352,-0.03183,0.05669,-0.02880,-0.10917,-0.01481,-0.04967,-0.08461,0.12773,0.05689,0.02965,0.07400,0.01259
Gen 108,0.06016,0.12917,0.10879,-0.09977,-0.07106,-0.12852,0.14360,-0.07908,0.04818,-0.12311,-0.08677,0.00085,-0.11851,-0.03334,0.01140,-0.04824,0.01677,0.01103,-0.03282,0.05888,0.05354,0.05619,0.01845,-0.04258,0.03393,0.13072,0.02907,0.14388,-0.01770,0.07188,-0.13872,0.07942,0.00548,-0.14841,-0.06684,0.01045,0.08039,-0.13407,0.01472,0.09030
Gen 1688,0.04487,0.12943,-0.12758,-0.06696,0.12577,0.07950,0.02992,0.09989,0.11881,0.14182,0.14956,-0.10811,-0.12884,-0.12796,-0.14558,0.14155,-0.12157,0.10252,0.05555,-0.00373,-0.04599,-0.04391,-0.07385,0.12331,0.06769,-0.14222,-0.01154,-0.06561,-0.14131,0.11540,0.08130,-0.05108,0.08897,-0.05261,-0.05764,0.12843,0.14307,0.00707,0.13558,0.11640
Gen 118,0.00541,-0.03818,0.06311,-0.01331,0.03156,0.14712,0.08217,-0.04972,-0.12330,-0.09453,0.00806,-0.02487,0.09020,0.12996,-0.09664,0.10802,0.13722,0.13784,-0.13864,-0.13272,-0.14826,-0.05620,-0.13329,-0.06184,-0.04320,0.13610,-0.00691,-0.06653,0.00090,0.04301,-0.11663,0.07742,0.10558,0.10327,0.11715,-0.03545,-0.01686,-0.11953,-0.08226,0.14140
Gen 111,-0.06461,0.12222,0.11717,0.12675,-0.10316,0.11392,0.03960,-0.08681,-0.04647,-0.10202,-0.01670,-0.12487,-0.10040,-0.09084,0.05731,0.02214,0.11200,-0.07661,0.03888,-0.13967,0.00486,0.10897,0.14524,-0.14704,-0.07415,-0.08285,-0.13574,-0.14695,-0.00294,-0.13636,-0.06650,0.04199,-0.06159,-0.06910,0.02716,-0.03584,0.06076,-0.00116,0.03996,-0.04398
Gen 107,-0.06389,-0.11004,0.13112,0.09145,0.13141,-0.09439,0.12995,0.13073,-0.06494,-0.06761,0.01543,-0.09441,-0.01737,-0.09440,0.13421,-0.00185,0.13918,0.04348,-0.00471,0.14031,-0.10704,0.03970,0.04857,-0.01985,-0.13219,-0.00218,-0.01046,0.09202,-0.07300,-0.03257,-0.07795,0.05593,0.14697,-0.09677,0.09643,-0.08070,-0.13261,-0.10836,0.13055,0.11656
Probability,0.02665,0.02758,0.02786,0.02758,0.02407,0.02509,0.02407,0.02496,0.01926,0.02540,0.02301,0.02865,0.02513,0.02380,0.02498,0.02650,0.02613,0.02256,0.02716,0.02371,0.02451,0.02549,0.02566,0.02512,0.02417,0.02191,0.02490,0.02513,0.02397,0.02879,0.02504,0.02361,0.02500,0.02419,0.02584,0.02432,0.02518,0.02258,0.02209,0.02835
